common,external,linkonce,modules,prefix-length,section-size,external-fixups,internal-fixups,mean,confidenceInterval
0,0,0,3301,1,16,0,0,40.48,1.1035200347977374
0,0,0,2201,1,16,0,0,30.7,0.7726478111015392
0,0,0,601,1,16,0,0,15.48,0.356008521246332
0,0,0,3901,1,16,0,0,49.52,1.0433976745229983
0,0,0,2301,1,16,0,0,31.98,0.8062059210896432
0,0,0,3801,1,16,0,0,45.8,0.8730254520917474
0,0,0,2701,1,16,0,0,35.8,0.8352452095043709
0,0,0,501,1,16,0,0,14.56,0.4227788603986723
0,0,0,1601,1,16,0,0,25,0.6047481459252273
0,0,0,2501,1,16,0,0,35.36,1.7772434421879293
0,0,0,1401,1,16,0,0,23.56,0.6251386124692667
0,0,0,2601,1,16,0,0,35.02,0.6452896304761142
0,0,0,801,1,16,0,0,17.6,0.446948766638862
0,0,0,4901,1,16,0,0,55.38,0.8693036403926995
0,0,0,4001,1,16,0,0,46.64,0.9020430215904336
0,0,0,4201,1,16,0,0,49.5,0.5794444235645037
0,0,0,4301,1,16,0,0,50.38,0.7818213729490899
0,0,0,1201,1,16,0,0,21.44,0.5085737358535142
0,0,0,2001,1,16,0,0,26.46,0.6680351703316222
0,0,0,901,1,16,0,0,17.72,0.5489119885737603
0,0,0,1301,1,16,0,0,21.28,0.5289531276020588
0,0,0,4501,1,16,0,0,48.72,1.0707270292656295
0,0,0,3701,1,16,0,0,41.58,1.106093140381948
0,0,0,1101,1,16,0,0,19.86,0.6652691581608154
0,0,0,4101,1,16,0,0,47.02,0.9577804274467087
0,0,0,2801,1,16,0,0,34.1,0.8943271884495069
0,0,0,1001,1,16,0,0,18.46,0.538083366031696
0,0,0,401,1,16,0,0,13.18,0.2195899888428431
0,0,0,3601,1,16,0,0,43.98,1.1367864826782557
0,0,0,1801,1,16,0,0,25.36,0.7932747397970011
0,0,0,2901,1,16,0,0,36.08,0.7698384994269902
0,0,0,3201,1,16,0,0,38.7,1.117371916597155
0,0,0,4801,1,16,0,0,51.4,0.6345074310045551
0,0,0,1501,1,16,0,0,23.3,0.6817870635323027
0,0,0,3401,1,16,0,0,39,1.1915768376399403
0,0,0,701,1,16,0,0,15.92,0.4359491199669979
0,0,0,4401,1,16,0,0,49.4,0.5944974348136416
0,0,0,3501,1,16,0,0,39.94,1.0568162966192374
0,0,0,3101,1,16,0,0,38.42,1.0519778491964555
0,0,0,2101,1,16,0,0,29.42,0.9902792107279645
0,0,0,1701,1,16,0,0,24.56,0.7273897750174936
0,0,0,4701,1,16,0,0,53.62,1.3611942474165835
0,0,0,301,1,16,0,0,11.96,0.2769640207680412
0,0,0,1901,1,16,0,0,26.84,0.8945161713462759
0,0,0,4601,1,16,0,0,50.86,1.142880016799664
0,0,0,3001,1,16,0,0,37.3,1.1525733295543494
0,0,0,201,1,16,0,0,11.02,0.2629031517498412
0,0,0,101,1,16,0,0,10.24,0.22559591485663036
0,0,0,2401,1,16,0,0,33.18,0.8438295107425432
0,0,0,1,1,16,0,0,8.14,0.09617989810766077
